,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
6,35.3593,193.94,3.22096,13.7871,4,5,4.833333333,1,4,5,3.75,2,5,5,18
7,32.1282,169.031,3.88659,17.0365,5,5,5,5,5,4.5,4.75,1,5,5,18
8,58.6317,305.492,4.65338,24.3217,5,5,4.833333333,4,4,4.5,4.25,4,5,5,18
9,26.867,135.553,3.71924,17.2199,5,5,4.833333333,4,5,3.5,4,2,5,5,18
0,173.40208,902.7374533,,12.74921,2.5,2,3,2,3,4,3.25,4,4,2,19
1,49.5692,241.6983,4.1199,39.3199,2.5,1,2,5,2,3,3.25,4,4,4,19
2,83.1214,389.311,4.53646,41.054,3,3,3.333333333,3,4,3,3.25,4,4,4,19
3,26.8898,132.82,3.37092,7.6688,3.5,4,4.5,2,3,2,2.25,2,5,5,19
4,67.3503,292.001,5.75352,26.735,5,3,3.333333333,2,4,3.5,3.25,4,4,4,19
5,484.1826,2060.585,9.55321,21.1886,3.5,2,2.833333333,3,3,3,3,3,4,4,19
6,161.389,842.662,4.92064,16.19,1,2,3.666666667,2,4,4,3.5,2,5,4,19
7,36.592,184.906,4.6865,15.537,3.5,4,4.833333333,4,5,3,3.75,1,5,5,19
8,107.523,479.339,4.70308,13.852,5,4,4,2,4,3,3,3,2,4,19
9,96.884,514.536,3.02097,16.053,2,2,3,3,4,2.5,3,3,2,3,19
0,24.59718,128.7341533,,5.939465,4.5,3,3.833333333,2,2,4,3,2,4,4,20
1,74.92,428.1847,5.741755,10.0904,4.5,3,3.166666667,3,2,4,3.25,5,3,3,20
2,34.5867,170.0559,2.18758,8.6698,3.5,2,2.666666667,2,2,3.5,2.75,3,4,2,20
3,28.1884,124.5803,2.45323,3.9704,2.5,4,3.5,2,3,4,3.25,2,5,4,20
4,50.4224,278.1517,8.36926,5.2702,4.5,2,2.833333333,4,2,4,3.5,5,4,2,20
5,60.8644,254.045,3.10351,4.0722,3.5,3,3.166666667,2,3,3,2.75,3,5,2,20
6,39.3483,201.699,3.82082,9.5704,2.5,4,3.666666667,4,2,4.5,3.75,3,4,4,20
7,33.9528,163.642,6.73671,0.9226,5,3,3.5,4,3,4,3.75,3,2,4,20
8,57.3262,324.589,2.78623,30.4384,4,3,2.666666667,3,2,1,1.75,5,5,3,20
9,41.547,214.257,2.72095,10.2358,4,4,3.833333333,2,3,4,3.25,4,3,4,20
0,78.94801,336.7684533,,4.082292,2.5,2,3.166666667,3,2,2.5,2.5,3,4,2,21
1,46.5259,228.0778,3.186808,18.4895,2.5,3,3.5,3,3,3.5,3.25,1,3,4,21
2,48.6554,266.8032,2.13643,29.3516,5,2,2.833333333,2,2,3,2.5,4,4,2,21
